Название фирмы заказчика: Pyramid | Итоговая цена: 85350 руб. | Размер скидки: 35%
Название фирмы заказчика: Preparatory | Итоговая цена: 85640 руб. | Размер скидки: 40%
Название фирмы заказчика: Electricity | Итоговая цена: 5520 руб. | Размер скидки: 15%
Название фирмы заказчика: Industrial | Итоговая цена: 8800 руб. | Размер скидки: 10%
Название фирмы заказчика: Power Engineer | Итоговая цена: 324660 руб. | Размер скидки: 45%
Название фирмы заказчика: Mosque | Итоговая цена: 82800 руб. | Размер скидки: 25%
Название фирмы заказчика: Carryover | Итоговая цена: 14835 руб. | Размер скидки: 5%
Название фирмы заказчика: Fossil | Итоговая цена: 58800 руб. | Размер скидки: 30%
Название фирмы заказчика: Resident | Итоговая цена: 56100 руб. | Размер скидки: 0%
Название фирмы заказчика: Atomic | Итоговая цена: 25000 руб. | Размер скидки: 20%
Название фирмы заказчика: Recovery | Итоговая цена: 56700 руб. | Размер скидки: 50%
Название фирмы заказчика: Ancillary | Итоговая цена: 300000 руб. | Размер скидки: 0%
